Modelo,MSI,Desinencia,inflex_reg,cambio_raiz,forma
amar,VMIS2S0V0,astes,ar,,amastes
amar,VMSF2S0V0,ares,ar,,amares
amar,VMSI2S0V0,aras,ar,,amaras
amar,VMSI2S0V0,ases,ar,,amases
amar,VMSF2S0T0,ares,ar,,amares
amar,VMSI2S0T0,aras,ar,,amaras
amar,VMSI2S0T0,ases,ar,,amases
amar,VMIF2S0T0,arás,ar,,amarás
amar,VMIF2S0V0,arás,ar,,amarás
amar,VMII2S0T0,abas,ar,,amabas
amar,VMII2S0V0,abas,ar,,amabas
amar,VMIC2S0U0,aría,ar,,amaría
amar,VMIF2S0U0,ará,ar,,amará
amar,VMII2S0U0,aba,ar,,amaba
amar,VMIS2S0U0,ó,ar,,amó
amar,VMSF2S0U0,are,ar,,amare
amar,VMSI2S0U0,ara,ar,,amara
amar,VMSI2S0U0,ase,ar,,amase
amar,VMSP2S0U0,e,ar,,ames
amar,VMSP3S000,e,ar,,ame
amar,VMSP3P000,en,ar,,amen
amar,VMSP1S000,e,ar,,ame
amar,VMSP1P000,emos,ar,,amemos
amar,VMSI3S000,ara,ar,,amara
amar,VMSI3S000,ase,ar,,amase
amar,VMSI3P000,aran,ar,,amaran
amar,VMSI3P000,asen,ar,,amasen
amar,VMSI1S000,ara,ar,,amara
amar,VMSI1S000,ase,ar,,amase
amar,VMSI1P000,áramos,ar,,amáramos
amar,VMSI1P000,ásemos,ar,,amásemos
amar,VMSF3S000,are,ar,,amare
amar,VMSF3P000,aren,ar,,amaren
amar,VMSF1S000,are,ar,,amare
amar,VMSF1P000,áremos,ar,,amáremos
amar,VMP000000,ado,ar,,amado
amar,VMM03S000,e,ar,,ame
amar,VMM03P000,en,ar,,amen
amar,VMM01P000,emos,ar,,amemos
amar,VMIS3S000,ó,ar,,amó
amar,VMIS3P000,aron,ar,,amaron
amar,VMIS1S000,e,ar,,amé
amar,VMIS1P000,amos,ar,,amamos
amar,VMIP3S000,a,ar,,ama
amar,VMIP3P000,an,ar,,aman
amar,VMIP1S000,o,ar,,amo
amar,VMIP1P000,amos,ar,,amamos
amar,VMII3S000,aba,ar,,amaba
amar,VMII3P000,aban,ar,,amaban
amar,VMII1S000,aba,ar,,amaba
amar,VMII1P000,ábamos,ar,,amábamos
amar,VMIF3S000,ará,ar,,amará
amar,VMIF3P000,arán,ar,,amarán
amar,VMIF1S000,aré,ar,,amaré
amar,VMIF1P000,aremos,ar,,amaremos
amar,VMIC3S000,aría,ar,,amaría
amar,VMIC3P000,arían,ar,,amarían
amar,VMIC1S000,aría,ar,,amaría
amar,VMIC1P000,aríamos,ar,,amaríamos
amar,VMG000000,ando,ar,,amando
amar,VMIC2P0B0,aríais,ar,,amaríais
amar,VMIC2P0W0,arían,ar,,amarían
amar,VMIC2S0T0,aríai,ar,,amaríai
amar,VMIC2S0T0,arías,ar,,amarías
amar,VMIC2S0V0,arías,ar,,amarías
amar,VMIF2P0B0,aréis,ar,,amaréis
amar,VMIF2P0W0,arán,ar,,amarán
amar,VMIF2S0T0,aréi,ar,,amaréi
amar,VMII2P0B0,abais,ar,,amabais
amar,VMII2P0W0,aban,ar,,amaban
amar,VMII2S0T0,abai,ar,,amabai
amar,VMIP2P0B0,áis,ar,,amáis
amar,VMIP2P0W0,an,ar,,aman
amar,VMIP2S0T0,ai,ar,,amai
amar,VMIP2S0T0,as,ar,,amas
amar,VMIP2S0U0,a,ar,,ama
amar,VMIP2S0V0,ás,ar,,amás
amar,VMIS2P0B0,asteis,ar,,amasteis
amar,VMIS2P0W0,aron,ar,,amaron
amar,VMIS2S0T0,aste,ar,,amaste
amar,VMIS2S0T0,astei,ar,,amastei
